 Z=0.02
    Mass       He            C12         016       N14        C13        Ne           Mg          Si         Fe                 N14s       C13s        S32          Ca         Rem
 0.75000E+01 0.46269E+01 0.85281E-02 0.00000E+00 0.52616E-01 0.19797E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11126E+01
 0.80000E+01 0.40299E+01 0.55306E-02 0.00000E+00 0.38174E-01 0.19076E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11731E+01
 0.85000E+01 0.16909E+01 0.42809E-02 0.00000E+00 0.26722E-01 0.15365E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12175E+01
 0.90000E+01 0.12927E+01 0.54122E-02 0.00000E+00 0.22859E-01 0.10534E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12694E+01
 0.95000E+01 0.89450E+00 0.65435E-02 0.00000E+00 0.18996E-01 0.57030E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13213E+01
 0.10000E+02 0.49630E+00 0.76748E-02 0.00000E+00 0.15133E-01 0.87200E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13732E+01
 0.10500E+02 0.98100E-01 0.88061E-02 0.00000E+00 0.11270E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14251E+01
