 Z=0.02
    Mass       He            C12         016       N14        C13        Ne           Mg          Si         Fe                 N14s       C13s        S32          Ca         Rem
 0.75000E+01 0.62706E+00 0.00000E+00 0.00000E+00 0.55652E-01 0.10716E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.90960E+00
 0.80000E+01 0.69831E+00 0.00000E+00 0.00000E+00 0.55036E-01 0.10424E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.96660E+00
 0.85000E+01 0.76956E+00 0.00000E+00 0.00000E+00 0.54420E-01 0.10132E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10236E+01
 0.90000E+01 0.84081E+00 0.00000E+00 0.00000E+00 0.53804E-01 0.98404E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10806E+01
 0.95000E+01 0.91206E+00 0.00000E+00 0.00000E+00 0.53188E-01 0.95486E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11376E+01
 0.10000E+02 0.99500E+00 0.00000E+00 0.00000E+00 0.57291E-01 0.10751E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12043E+01
 0.10500E+02 0.10545E+01 0.00000E+00 0.00000E+00 0.67873E-01 0.16982E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12694E+01
