mass      z=  0.5000E-01   0.2000E-01   0.4000E-02   0.1000E-02   0.0000E+00
 0.11000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.12000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.13000E+02  0.13195E-03  0.12938E-03  0.17010E-03  0.21945E-03  0.13280E-03
 0.15000E+02  0.55612E-03  0.20045E-03  0.13489E-03  0.71092E-04  0.18550E-03
 0.18000E+02 -0.81455E-04  0.18641E-03  0.42420E-03  0.27036E-03  0.17390E-03
 0.19000E+02 -0.81455E-04  0.18641E-03  0.42420E-03  0.27036E-03  0.17390E-03
 0.20000E+02  0.15320E-03  0.75441E-04  0.43242E-04  0.96690E-04  0.82180E-04
 0.22000E+02  0.15320E-03  0.75441E-04  0.43242E-04  0.96690E-04  0.82180E-04
 0.25000E+02 -0.15558E-04  0.48597E-04  0.10554E-03  0.96905E-04  0.20160E-03
 0.30000E+02  0.85520E-03  0.22636E-03  0.25667E-03  0.17766E-03  0.24670E-03
 0.35000E+02  0.85520E-03  0.22636E-03  0.25667E-03  0.17766E-03  0.24670E-03
 0.40000E+02  0.16509E-03 -0.27891E-05  0.48630E-03  0.44277E-03  0.36820E-03
 0.50000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.60000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.70000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.90000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 0.10000E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00



