 Z=0.02
   Mass      He            C12         016         N14         C13          Ne           Mg          Si         Fe         N14s         C13s         S32         Ca         Rem
 0.75000E+01 0.60230E+00 0.00000E+00 0.00000E+00 0.32007E-01 0.19187E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10163E+01
 0.80000E+01 0.67411E+00 0.00000E+00 0.00000E+00 0.35337E-01 0.27137E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10607E+01
 0.85000E+01 0.74592E+00 0.00000E+00 0.00000E+00 0.38667E-01 0.35087E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11051E+01
 0.90000E+01 0.81773E+00 0.00000E+00 0.00000E+00 0.41997E-01 0.43037E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11495E+01
 0.95000E+01 0.88954E+00 0.00000E+00 0.00000E+00 0.45327E-01 0.50987E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11939E+01
 0.10000E+02 0.97041E+00 0.00000E+00 0.00000E+00 0.48868E-01 0.59588E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12677E+01
 0.10500E+02 0.10287E+01 0.00000E+00 0.00000E+00 0.56749E-01 0.92480E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13319E+01
  
 
 
 
 
 
 
 
 
