 Z=0.02
    Mass       He            C12         016       N14        C13        Ne           Mg          Si         Fe                 N14s       C13s        S32          Ca         Rem
 0.75000E+01 0.70069E+00 0.00000E+00 0.00000E+00 0.16146E-01 0.10393E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.97180E+00
 0.80000E+01 0.77560E+00 0.29160E-03 0.00000E+00 0.18797E-01 0.25519E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10529E+01
 0.85000E+01 0.85051E+00 0.11980E-02 0.00000E+00 0.21448E-01 0.40645E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11340E+01
 0.90000E+01 0.92542E+00 0.21044E-02 0.00000E+00 0.24099E-01 0.55771E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12151E+01
 0.95000E+01 0.10114E+01 0.30061E-02 0.00000E+00 0.31395E-01 0.86255E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12688E+01
 0.10000E+02 0.10935E+01 0.41742E-02 0.00000E+00 0.35101E-01 0.13178E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13230E+01
 0.10500E+02 0.11756E+01 0.53423E-02 0.00000E+00 0.38807E-01 0.17731E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13772E+01
