 Z=0.02
    Mass       He            C12         016       N14        C13        Ne           Mg          Si         Fe                 N14s       C13s        S32          Ca         Rem
 0.75000E+01 0.57866E+00 0.35050E-03 0.00000E+00 0.20471E-01 0.74550E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.98000E+00
 0.80000E+01 0.66542E+00 0.00000E+00 0.00000E+00 0.23460E-01 0.21532E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10267E+01
 0.85000E+01 0.75218E+00 0.00000E+00 0.00000E+00 0.26449E-01 0.35609E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10734E+01
 0.90000E+01 0.83894E+00 0.00000E+00 0.00000E+00 0.29438E-01 0.49686E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11201E+01
 0.95000E+01 0.92570E+00 0.00000E+00 0.00000E+00 0.32427E-01 0.63763E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11668E+01
 0.10000E+02 0.10185E+01 0.00000E+00 0.00000E+00 0.40288E-01 0.97062E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12641E+01
 0.10500E+02 0.11113E+01 0.00000E+00 0.00000E+00 0.48149E-01 0.13036E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13614E+01
