M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
sm152   1.5000D-03   2.6047D-10     1.7268D-08    2.1424D-02	2.2970D-08    2.3600D-02   
sm153   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   1.5000D-03   2.2445D-10     3.6725D-10    2.1424D-02	5.1094D-10    2.3600D-02   
eu151   1.5000D-03   1.7464D-10     3.3076D-09    2.1424D-02	4.3657D-09    2.3600D-02   
eu152   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   1.5000D-03   1.9331D-10     2.8392D-09    2.1424D-02	3.7598D-09    2.3600D-02   
eu154   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       	       	  		   				          
ba134   2.0000D-03   3.6327D-10     6.5602D-08    2.1424D-02	6.7734D-08    2.3600D-02   
ba135   2.0000D-03   9.9387D-10     4.5132D-08    2.1424D-02	5.8830D-08    2.3600D-02   
ba136   2.0000D-03   1.1940D-09     2.2898D-07    2.1424D-02	2.2562D-07    2.3600D-02   
ba137   2.0000D-03   1.7173D-09     2.2270D-07    2.1424D-02	5.3400D-07    2.3600D-02   
ba138   2.0000D-03   1.1052D-08     2.4072D-06    2.1424D-02	2.8176D-06    2.3600D-02   
ba139   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   2.0000D-03   1.5419D-09     2.5065D-07    2.1424D-02	2.9638D-07    2.3600D-02   
la140   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   2.0000D-03   3.4994D-09     8.2137D-07    2.1424D-02	8.9358D-07    2.3600D-02   
ce141   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   2.0000D-03   4.4500D-10     2.5946D-08    2.1424D-02	1.4930D-07    2.3600D-02   
ce143   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   2.0000D-03   5.8565D-10     8.1698D-08    2.1424D-02	9.2793D-08    2.3600D-02   
pr142   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   2.0000D-03   7.9465D-10     2.1657D-07    2.1424D-02	1.9218D-07    2.3600D-02   
nd143   2.0000D-03   3.5566D-10     3.2833D-08    2.1424D-02	4.3657D-08    2.3600D-02   
nd144   2.0000D-03   7.0556D-10     1.0518D-07    2.1424D-02	1.4565D-07    2.3600D-02   
nd145   2.0000D-03   2.4776D-10     2.0067D-08    2.1424D-02	2.8049D-08    2.3600D-02   
nd146   2.0000D-03   5.1564D-10     9.7784D-08    2.1424D-02	1.3947D-07    2.3600D-02   
nd147   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   2.0000D-03   1.7558D-10     8.2093D-09    2.1424D-02	1.5194D-08    2.3600D-02   
nd149   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   2.0000D-03   1.7423D-10     1.3126D-12    2.1424D-02	3.2688D-13    2.3600D-02   
pm147   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   2.0000D-03   1.4588D-10     8.8868D-09    2.1424D-02	1.2698D-08    2.3600D-02   
sm148   2.0000D-03   1.0748D-10     3.2052D-08    2.1424D-02	4.5474D-08    2.3600D-02   
sm149   2.0000D-03   1.3193D-10     4.9331D-09    2.1424D-02	7.3145D-09    2.3600D-02   
sm150   2.0000D-03   7.1257D-11     2.1290D-08    2.1424D-02	3.1843D-08    2.3600D-02   
sm151   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm152   2.0000D-03   2.6047D-10     1.7902D-08    2.1424D-02	2.7213D-08    2.3600D-02   
sm153   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   2.0000D-03   2.2445D-10     3.8926D-10    2.1424D-02	6.2171D-10    2.3600D-02   
eu151   2.0000D-03   1.7464D-10     3.4306D-09    2.1424D-02	5.1743D-09    2.3600D-02   
eu152   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   2.0000D-03   1.9331D-10     2.9445D-09    2.1424D-02	4.4563D-09    2.3600D-02   
eu154   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   2.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       				   	       	          
ba134   2.5000D-03   3.6327D-10     7.3523D-08    2.1424D-02	7.9915D-08    2.3600D-02   
ba135   2.5000D-03   9.9387D-10     5.0165D-08    2.1424D-02	6.9525D-08    2.3600D-02   
ba136   2.5000D-03   1.1940D-09     2.5581D-07    2.1424D-02	2.6573D-07    2.3600D-02   
ba137   2.5000D-03   1.7173D-09     2.4189D-07    2.1424D-02	6.0650D-07    2.3600D-02   
ba138   2.5000D-03   1.1052D-08     2.6070D-06    2.1424D-02	3.2472D-06    2.3600D-02   
ba139   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   2.5000D-03   1.5419D-09     2.7140D-07    2.1424D-02	3.4075D-07    2.3600D-02   
la140   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   2.5000D-03   3.4994D-09     8.9517D-07    2.1424D-02	1.0201D-06    2.3600D-02   
ce141   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   2.5000D-03   4.4500D-10     2.5265D-08    2.1424D-02	1.6792D-07    2.3600D-02   
ce143   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   2.5000D-03   5.8565D-10     8.8682D-08    2.1424D-02	1.0602D-07    2.3600D-02   
pr142   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   2.5000D-03   7.9465D-10     2.3843D-07    2.1424D-02	2.1882D-07    2.3600D-02   
nd143   2.5000D-03   3.5566D-10     3.5802D-08    2.1424D-02	4.9442D-08    2.3600D-02   
nd144   2.5000D-03   7.0556D-10     1.1489D-07    2.1424D-02	1.6445D-07    2.3600D-02   
nd145   2.5000D-03   2.4776D-10     2.1917D-08    2.1424D-02	3.1649D-08    2.3600D-02   
nd146   2.5000D-03   5.1564D-10     1.0714D-07    2.1424D-02	1.5673D-07    2.3600D-02   
nd147   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   2.5000D-03   1.7558D-10     8.8354D-09    2.1424D-02	1.7273D-08    2.3600D-02   
nd149   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   2.5000D-03   1.7423D-10     1.8065D-12    2.1424D-02	4.4378D-13    2.3600D-02   
pm147   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   2.5000D-03   1.4588D-10     9.7408D-09    2.1424D-02	1.4265D-08    2.3600D-02   
sm148   2.5000D-03   1.0748D-10     3.5160D-08    2.1424D-02	5.0858D-08    2.3600D-02   
sm149   2.5000D-03   1.3193D-10     5.3965D-09    2.1424D-02	8.2002D-09    2.3600D-02   
sm150   2.5000D-03   7.1257D-11     2.3300D-08    2.1424D-02	3.5666D-08    2.3600D-02   
sm151   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm152   2.5000D-03   2.6047D-10     1.9572D-08    2.1424D-02	3.0442D-08    2.3600D-02   
sm153   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   2.5000D-03   2.2445D-10     4.2987D-10    2.1424D-02	7.0949D-10    2.3600D-02   
eu151   2.5000D-03   1.7464D-10     3.7508D-09    2.1424D-02	5.7899D-09    2.3600D-02   
eu152   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   2.5000D-03   1.9331D-10     3.2209D-09    2.1424D-02	4.9868D-09    2.3600D-02   
eu154   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   2.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       	       	  		   	       	       		    
ba134   3.0000D-03   3.6327D-10     7.8595D-08    2.1424D-02	8.9428D-08    2.3600D-02   
ba135   3.0000D-03   9.9387D-10     5.3391D-08    2.1424D-02	7.7972D-08    2.3600D-02   
ba136   3.0000D-03   1.1940D-09     2.7340D-07    2.1424D-02	2.9714D-07    2.3600D-02   
ba137   3.0000D-03   1.7173D-09     2.5378D-07    2.1424D-02	6.5824D-07    2.3600D-02   
ba138   3.0000D-03   1.1052D-08     2.7458D-06    2.1424D-02	3.5943D-06    2.3600D-02   
ba139   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   3.0000D-03   1.5419D-09     2.8610D-07    2.1424D-02	3.7680D-07    2.3600D-02   
la140   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   3.0000D-03   3.4994D-09     9.4336D-07    2.1424D-02	1.1317D-06    2.3600D-02   
ce141   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   3.0000D-03   4.4500D-10     2.4306D-08    2.1424D-02	1.8471D-07    2.3600D-02   
ce143   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   3.0000D-03   5.8565D-10     9.3117D-08    2.1424D-02	1.1784D-07    2.3600D-02   
pr142   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   3.0000D-03   7.9465D-10     2.5224D-07    2.1424D-02	2.4302D-07    2.3600D-02   
nd143   3.0000D-03   3.5566D-10     3.7613D-08    2.1424D-02	5.4697D-08    2.3600D-02   
nd144   3.0000D-03   7.0556D-10     1.2063D-07    2.1424D-02	1.8166D-07    2.3600D-02   
nd145   3.0000D-03   2.4776D-10     2.3004D-08    2.1424D-02	3.4950D-08    2.3600D-02   
nd146   3.0000D-03   5.1564D-10     1.1250D-07    2.1424D-02	1.7270D-07    2.3600D-02   
nd147   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   3.0000D-03   1.7558D-10     9.1297D-09    2.1424D-02	1.9293D-08    2.3600D-02   
nd149   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   3.0000D-03   1.7423D-10     2.3152D-12    2.1424D-02	5.6221D-13    2.3600D-02   
pm147   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   3.0000D-03   1.4588D-10     1.0231D-08    2.1424D-02	1.5716D-08    2.3600D-02   
sm148   3.0000D-03   1.0748D-10     3.6915D-08    2.1424D-02	5.5826D-08    2.3600D-02   
sm149   3.0000D-03   1.3193D-10     5.6526D-09    2.1424D-02	9.0255D-09    2.3600D-02   
sm150   3.0000D-03   7.1257D-11     2.4406D-08    2.1424D-02	3.9240D-08    2.3600D-02   
sm151   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm152   3.0000D-03   2.6047D-10     2.0473D-08    2.1424D-02	3.3471D-08    2.3600D-02   
sm153   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   3.0000D-03   2.2445D-10     4.5409D-10    2.1424D-02	7.9615D-10    2.3600D-02   
eu151   3.0000D-03   1.7464D-10     3.9253D-09    2.1424D-02	6.3651D-09    2.3600D-02   
eu152   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   3.0000D-03   1.9331D-10     3.3703D-09    2.1424D-02	5.4844D-09    2.3600D-02   
eu154   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   3.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       	       	  		   				          
ba134   3.5000D-03   3.6327D-10     8.4372D-08    2.1424D-02	9.7217D-08    2.3600D-02   
ba135   3.5000D-03   9.9387D-10     5.5409D-08    2.1424D-02	8.4854D-08    2.3600D-02   
ba136   3.5000D-03   1.1940D-09     2.8529D-07    2.1424D-02	3.2300D-07    2.3600D-02   
ba137   3.5000D-03   1.7173D-09     2.6098D-07    2.1424D-02	6.9498D-07    2.3600D-02   
ba138   3.5000D-03   1.1052D-08     2.7962D-06    2.1424D-02	3.9062D-06    2.3600D-02   
ba139   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   3.5000D-03   1.5419D-09     2.9081D-07    2.1424D-02	4.0970D-07    2.3600D-02   
la140   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   3.5000D-03   3.4994D-09     9.4218D-07    2.1424D-02	1.2409D-06    2.3600D-02   
ce141   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   3.5000D-03   4.4500D-10     2.2294D-08    2.1424D-02	1.9840D-07    2.3600D-02   
ce143   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   3.5000D-03   5.8565D-10     9.2527D-08    2.1424D-02	1.2940D-07    2.3600D-02   
pr142   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   3.5000D-03   7.9465D-10     2.5056D-07    2.1424D-02	2.6825D-07    2.3600D-02   
nd143   3.5000D-03   3.5566D-10     3.7121D-08    2.1424D-02	5.9744D-08    2.3600D-02   
nd144   3.5000D-03   7.0556D-10     1.1860D-07    2.1424D-02	1.9817D-07    2.3600D-02   
nd145   3.5000D-03   2.4776D-10     2.2592D-08    2.1424D-02	3.8112D-08    2.3600D-02   
nd146   3.5000D-03   5.1564D-10     1.1018D-07    2.1424D-02	1.8800D-07    2.3600D-02   
nd147   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   3.5000D-03   1.7558D-10     8.7414D-09    2.1424D-02	2.1220D-08    2.3600D-02   
nd149   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   3.5000D-03   1.7423D-10     2.8664D-12    2.1424D-02	6.9439D-13    2.3600D-02   
pm147   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   3.5000D-03   1.4588D-10     1.0019D-08    2.1424D-02	1.7108D-08    2.3600D-02   
sm148   3.5000D-03   1.0748D-10     3.6119D-08    2.1424D-02	6.0570D-08    2.3600D-02   
sm149   3.5000D-03   1.3193D-10     5.5132D-09    2.1424D-02	9.8136D-09    2.3600D-02   
sm150   3.5000D-03   7.1257D-11     2.3787D-08    2.1424D-02	4.2651D-08    2.3600D-02   
sm151   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm152   3.5000D-03   2.6047D-10     1.9907D-08    2.1424D-02	3.6353D-08    2.3600D-02   
sm153   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   3.5000D-03   2.2445D-10     4.4176D-10    2.1424D-02	8.8174D-10    2.3600D-02   
eu151   3.5000D-03   1.7464D-10     3.8226D-09    2.1424D-02	6.9125D-09    2.3600D-02   
eu152   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   3.5000D-03   1.9331D-10     3.2780D-09    2.1424D-02	5.9586D-09    2.3600D-02   
eu154   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   3.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       				   	       	          
ba134   4.0000D-03   3.6327D-10     8.4372D-08    2.1424D-02	1.0327D-07    2.3600D-02   
ba135   4.0000D-03   9.9387D-10     5.6722D-08    2.1424D-02	9.0194D-08    2.3600D-02   
ba136   4.0000D-03   1.1940D-09     2.9354D-07    2.1424D-02	3.4339D-07    2.3600D-02   
ba137   4.0000D-03   1.7173D-09     2.6543D-07    2.1424D-02	7.2127D-07    2.3600D-02   
ba138   4.0000D-03   1.1052D-08     2.7670D-06    2.1424D-02	4.1495D-06    2.3600D-02   
ba139   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   4.0000D-03   1.5419D-09     2.8626D-07    2.1424D-02	4.3525D-07    2.3600D-02   
la140   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   4.0000D-03   3.4994D-09     8.9985D-07    2.1424D-02	1.3169D-06    2.3600D-02   
ce141   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   4.0000D-03   4.4500D-10     1.9806D-08    2.1424D-02	2.0579D-07    2.3600D-02   
ce143   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   4.0000D-03   5.8565D-10     8.7877D-08    2.1424D-02	1.3739D-07    2.3600D-02   
pr142   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   4.0000D-03   7.9465D-10     2.3640D-07    2.1424D-02	2.8541D-07    2.3600D-02   
nd143   4.0000D-03   3.5566D-10     3.4833D-08    2.1424D-02	6.2935D-08    2.3600D-02   
nd144   4.0000D-03   7.0556D-10     1.1063D-07    2.1424D-02	2.0823D-07    2.3600D-02   
nd145   4.0000D-03   2.4776D-10     2.1045D-08    2.1424D-02	4.0026D-08    2.3600D-02   
nd146   4.0000D-03   5.1564D-10     1.0211D-07    2.1424D-02	1.9687D-07    2.3600D-02   
nd147   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   4.0000D-03   1.7558D-10     7.9282D-09    2.1424D-02	2.2376D-08    2.3600D-02   
nd149   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   4.0000D-03   1.7423D-10     3.4458D-12    2.1424D-02	8.3304D-13    2.3600D-02   
pm147   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   4.0000D-03   1.4588D-10     9.2813D-09    2.1424D-02	1.7911D-08    2.3600D-02   
sm148   4.0000D-03   1.0748D-10     3.3412D-08    2.1424D-02	6.3199D-08    2.3600D-02   
sm149   4.0000D-03   1.3193D-10     5.0851D-09    2.1424D-02	1.0256D-08    2.3600D-02   
sm150   4.0000D-03   7.1257D-11     2.1915D-08    2.1424D-02	4.4543D-08    2.3600D-02   
sm151   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm152   4.0000D-03   2.6047D-10     1.8294D-08    2.1424D-02	3.7926D-08    2.3600D-02   
sm153   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   4.0000D-03   2.2445D-10     4.0524D-10    2.1424D-02	9.3458D-10    2.3600D-02   
eu151   4.0000D-03   1.7464D-10     3.5193D-09    2.1424D-02	7.2137D-09    2.3600D-02   
eu152   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   4.0000D-03   1.9331D-10     3.0130D-09    2.1424D-02	6.2178D-09    2.3600D-02   
eu154   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   4.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       	       	  		   	       	       		    
ba134   4.5000D-03   3.6327D-10     8.5919D-08    2.1424D-02	1.0816D-07    2.3600D-02   
ba135   4.5000D-03   9.9387D-10     5.7468D-08    2.1424D-02	9.4628D-08    2.3600D-02   
ba136   4.5000D-03   1.1940D-09     2.9853D-07    2.1424D-02	3.6034D-07    2.3600D-02   
ba137   4.5000D-03   1.7173D-09     2.6709D-07    2.1424D-02	7.4175D-07    2.3600D-02   
ba138   4.5000D-03   1.1052D-08     2.6620D-06    2.1424D-02	4.3125D-06    2.3600D-02   
ba139   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   4.5000D-03   1.5419D-09     2.7305D-07    2.1424D-02	4.5160D-07    2.3600D-02   
la140   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   4.5000D-03   3.4994D-09     8.2717D-07    2.1424D-02	1.3494D-06    2.3600D-02   
ce141   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   4.5000D-03   4.4500D-10     1.7086D-08    2.1424D-02	2.0613D-07    2.3600D-02   
ce143   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   4.5000D-03   5.8565D-10     8.0308D-08    2.1424D-02	1.4071D-07    2.3600D-02   
pr142   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   4.5000D-03   7.9465D-10     2.1396D-07    2.1424D-02	2.9161D-07    2.3600D-02   
nd143   4.5000D-03   3.5566D-10     3.1375D-08    2.1424D-02	6.3782D-08    2.3600D-02   
nd144   4.5000D-03   7.0556D-10     9.8985D-08    2.1424D-02	2.1027D-07    2.3600D-02   
nd145   4.5000D-03   2.4776D-10     1.8802D-08    2.1424D-02	4.0386D-08    2.3600D-02   
nd146   4.5000D-03   5.1564D-10     9.0688D-08    2.1424D-02	1.9780D-07    2.3600D-02   
nd147   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   4.5000D-03   1.7558D-10     6.9042D-09    2.1424D-02	2.2574D-08    2.3600D-02   
nd149   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   4.5000D-03   1.7423D-10     4.0530D-12    2.1424D-02	9.7685D-13    2.3600D-02   
pm147   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   4.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   4.5000D-03   1.4588D-10     8.2398D-09    2.1424D-02	1.7991D-08    2.3600D-02   
sm148   4.5000D-03   1.0748D-10     2.9612D-08    2.1424D-02	6.3259D-08    2.3600D-02   
