M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
pr142   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pr143   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
nd142   1.0000D-04   7.9465D-10     1.4467D-08    4.7632D-02	5.6809D-09    5.2500D-02
nd143   1.0000D-04   3.5566D-10     2.5915D-09    4.7632D-02	1.4303D-09    5.2500D-02
nd144   1.0000D-04   7.0556D-10     8.4756D-09    4.7632D-02	4.8900D-09    5.2500D-02
nd145   1.0000D-04   2.4776D-10     1.6261D-09    4.7632D-02	9.4666D-10    5.2500D-02
nd146   1.0000D-04   5.1564D-10     8.0316D-09    4.7632D-02	4.8719D-09    5.2500D-02
nd147   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
nd148   1.0000D-04   1.7558D-10     7.0934D-10    4.7632D-02	4.7325D-10    5.2500D-02
nd149   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
nd150   1.0000D-04   1.7423D-10     6.2010D-14    4.7632D-02	7.5605D-15    5.2500D-02
pm147   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pm148   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
pm149   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
sm147   1.0000D-04   1.4588D-10     7.3032D-10    4.7632D-02	4.4499D-10    5.2500D-02
sm148   1.0000D-04   1.0748D-10     2.6905D-09    4.7632D-02	1.6548D-09    5.2500D-02
sm149   1.0000D-04   1.3193D-10     4.1782D-10    4.7632D-02	2.6085D-10    5.2500D-02
sm150   1.0000D-04   7.1257D-11     1.8139D-09    4.7632D-02	1.1456D-09    5.2500D-02
sm151   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
sm152   1.0000D-04   2.6047D-10     1.5469D-09    4.7632D-02	9.9141D-10    5.2500D-02
sm153   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
sm154   1.0000D-04   2.2445D-10     2.8236D-11    4.7632D-02	1.8796D-11    5.2500D-02
eu151   1.0000D-04   1.7464D-10     2.9662D-10    4.7632D-02	1.8834D-10    5.2500D-02
eu152   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
eu153   1.0000D-04   1.9331D-10     2.5263D-10    4.7632D-02	1.6145D-10    5.2500D-02
eu154   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
eu155   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
eu156   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
eu157   1.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02
      					       				   				       		    
ba134   2.0000D-04   3.6327D-10     2.1459D-09    4.7632D-02	3.8917D-09    5.2500D-02					      
ba135   2.0000D-04   9.9387D-10     1.5977D-09 	  4.7632D-02	3.4588D-09    5.2500D-02   
ba136   2.0000D-04   1.1940D-09     7.4264D-09 	  4.7632D-02	1.3695D-08    5.2500D-02   
ba137   2.0000D-04   1.7173D-09     1.1975D-08 	  4.7632D-02	4.9044D-08    5.2500D-02   
ba138   2.0000D-04   1.1052D-08     1.3810D-07 	  4.7632D-02	1.9642D-07    5.2500D-02   
ba139   2.0000D-04   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02   
