 Z=0.02
    Mass       He            C12         016       N14        C13        Ne           Mg          Si         Fe                 N14s       C13s        S32          Ca         Rem
 0.75000E+01 0.86743E+00 0.33714E-02 0.00000E+00 0.21132E-01 0.42712E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10777E+01
 0.80000E+01 0.89982E+00 0.31631E-02 0.00000E+00 0.19099E-01 0.43423E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11419E+01
 0.85000E+01 0.93221E+00 0.29548E-02 0.00000E+00 0.17066E-01 0.44134E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12061E+01
 0.90000E+01 0.10069E+01 0.40673E-02 0.00000E+00 0.21602E-01 0.65503E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12633E+01
 0.95000E+01 0.10816E+01 0.51798E-02 0.00000E+00 0.26138E-01 0.86872E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13205E+01
 0.10000E+02 0.11563E+01 0.62923E-02 0.00000E+00 0.30674E-01 0.10824E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13777E+01
 0.10500E+02 0.12310E+01 0.74048E-02 0.00000E+00 0.35210E-01 0.12961E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14349E+01
