1.0000D-20  3.6327D-10 2.1459D-09 4.7632D-02  3.6327D-10  5.3452D-10  5.2500D-02 
1.0000D-20  9.9387D-10 1.5977D-09 4.7632D-02  9.9387D-10  4.5666D-10  5.2500D-02 
1.0000D-20  1.1940D-09 7.4264D-09 4.7632D-02  1.1940D-09  1.8536D-09  5.2500D-02 
1.0000D-20  1.7173D-09 1.1975D-08 4.7632D-02  1.7173D-09  5.9490D-09  5.2500D-02 
1.0000D-20  1.1052D-08 1.3810D-07 4.7632D-02  1.1052D-08  2.7315D-08  5.2500D-02 
2.0000D-05  3.6327D-10 2.1459D-09 4.7632D-02  3.6327D-10  5.3452D-10  5.2500D-02 
2.0000D-05  9.9387D-10 1.5977D-09 4.7632D-02  9.9387D-10  4.5666D-10  5.2500D-02 
2.0000D-05  1.1940D-09 7.4264D-09 4.7632D-02  1.1940D-09  1.8536D-09  5.2500D-02 
2.0000D-05  1.7173D-09 1.1975D-08 4.7632D-02  1.7173D-09  5.9490D-09  5.2500D-02 
2.0000D-05  1.1052D-08 1.3810D-07 4.7632D-02  1.1052D-08  2.7315D-08  5.2500D-02 
1.0000D-04  3.6327D-10 2.1459D-09 4.7632D-02  3.6327D-10  1.7829D-09  5.2500D-02 
1.0000D-04  9.9387D-10 1.5977D-09 4.7632D-02  9.9387D-10  1.5783D-09  5.2500D-02 
1.0000D-04  1.1940D-09 7.4264D-09 4.7632D-02  1.1940D-09  6.2975D-09  5.2500D-02 
1.0000D-04  1.7173D-09 1.1975D-08 4.7632D-02  1.7173D-09  2.2995D-08  5.2500D-02 
1.0000D-04  1.1052D-08 1.3810D-07 4.7632D-02  1.1052D-08  8.9668D-08  5.2500D-02 
2.0000D-04  3.6327D-10 2.1459D-09 4.7632D-02  3.6327D-10  3.8917D-09  5.2500D-02 
2.0000D-04  9.9387D-10 1.5977D-09 4.7632D-02  9.9387D-10  3.4588D-09  5.2500D-02 
2.0000D-04  1.1940D-09 7.4264D-09 4.7632D-02  1.1940D-09  1.3695D-08  5.2500D-02 
2.0000D-04  1.7173D-09 1.1975D-08 4.7632D-02  1.7173D-09  4.9044D-08  5.2500D-02 
2.0000D-04  1.1052D-08 1.3810D-07 4.7632D-02  1.1052D-08  1.9642D-07  5.2500D-02 
5.0000D-04  3.6327D-10 1.1619D-08 4.7632D-02  3.6327D-10  1.3738D-08  5.2500D-02 
5.0000D-04  9.9387D-10 8.3453D-09 4.7632D-02  9.9387D-10  1.2037D-08  5.2500D-02 
5.0000D-04  1.1940D-09 4.0642D-08 4.7632D-02  1.1940D-09  4.7351D-08  5.2500D-02 
5.0000D-04  1.7173D-09 5.1870D-08 4.7632D-02  1.7173D-09  1.4699D-07  5.2500D-02 
5.0000D-04  1.1052D-08 6.2701D-07 4.7632D-02  1.1052D-08  6.6397D-07  5.2500D-02 
1.0000D-03  3.6327D-10 3.3004D-08 2.1424D-02  3.6327D-10  3.3851D-08  2.3600D-02 
1.0000D-03  9.9387D-10 2.3052D-08 2.1424D-02  9.9387D-10  2.9359D-08  2.3600D-02 
1.0000D-03  1.1940D-09 1.1510D-07 2.1424D-02  1.1940D-09  1.1430D-07  2.3600D-02 
1.0000D-03  1.7173D-09 1.2453D-07 2.1424D-02  1.7173D-09  3.0869D-07  2.3600D-02 
1.0000D-03  1.1052D-08 1.5114D-06 2.1424D-02  1.1052D-08  1.5200D-06  2.3600D-02 
1.5000D-03  3.6327D-10 5.2922D-08 2.1424D-02  3.6327D-10  5.2638D-08  2.3600D-02 
1.5000D-03  9.9387D-10 3.6664D-08 2.1424D-02  9.9387D-10  4.5687D-08  2.3600D-02 
1.5000D-03  1.1940D-09 1.8570D-07 2.1424D-02  1.1940D-09  1.7631D-07  2.3600D-02 
1.5000D-03  1.7173D-09 1.8835D-07 2.1424D-02  1.7173D-09  4.4060D-07  2.3600D-02 
1.5000D-03  1.1052D-08 2.1631D-06 2.1424D-02  1.1052D-08  2.2729D-06  2.3600D-02 
2.0000D-03  3.6327D-10 6.5602D-08 2.1424D-02  3.6327D-10  6.7734D-08  2.3600D-02 
2.0000D-03  9.9387D-10 4.5132D-08 2.1424D-02  9.9387D-10  5.8830D-08  2.3600D-02 
2.0000D-03  1.1940D-09 2.2898D-07 2.1424D-02  1.1940D-09  2.2562D-07  2.3600D-02 
2.0000D-03  1.7173D-09 2.2270D-07 2.1424D-02  1.7173D-09  5.3400D-07  2.3600D-02 
2.0000D-03  1.1052D-08 2.4072D-06 2.1424D-02  1.1052D-08  2.8176D-06  2.3600D-02 
2.5000D-03  3.6327D-10 7.3523D-08 2.1424D-02  3.6327D-10  7.9915D-08  2.3600D-02 
2.5000D-03  9.9387D-10 5.0165D-08 2.1424D-02  9.9387D-10  6.9525D-08  2.3600D-02 
2.5000D-03  1.1940D-09 2.5581D-07 2.1424D-02  1.1940D-09  2.6573D-07  2.3600D-02 
2.5000D-03  1.7173D-09 2.4189D-07 2.1424D-02  1.7173D-09  6.0650D-07  2.3600D-02 
2.5000D-03  1.1052D-08 2.6070D-06 2.1424D-02  1.1052D-08  3.2472D-06  2.3600D-02 
3.0000D-03  3.6327D-10 7.8595D-08 2.1424D-02  3.6327D-10  8.9428D-08  2.3600D-02 
3.0000D-03  9.9387D-10 5.3391D-08 2.1424D-02  9.9387D-10  7.7972D-08  2.3600D-02 
3.0000D-03  1.1940D-09 2.7340D-07 2.1424D-02  1.1940D-09  2.9714D-07  2.3600D-02 
3.0000D-03  1.7173D-09 2.5378D-07 2.1424D-02  1.7173D-09  6.5824D-07  2.3600D-02 
3.0000D-03  1.1052D-08 2.7458D-06 2.1424D-02  1.1052D-08  3.5943D-06  2.3600D-02 
3.5000D-03  3.6327D-10 7.8595D-08 2.1424D-02  3.6327D-10  9.7217D-08  2.3600D-02 
3.5000D-03  9.9387D-10 5.5409D-08 2.1424D-02  9.9387D-10  8.4854D-08  2.3600D-02 
3.5000D-03  1.1940D-09 2.8529D-07 2.1424D-02  1.1940D-09  3.2300D-07  2.3600D-02 
3.5000D-03  1.7173D-09 2.6098D-07 2.1424D-02  1.7173D-09  6.9498D-07  2.3600D-02 
3.5000D-03  1.1052D-08 2.7962D-06 2.1424D-02  1.1052D-08  3.9062D-06  2.3600D-02 
4.0000D-03  3.6327D-10 8.4372D-08 2.1424D-02  3.6327D-10  1.0327D-07  2.3600D-02 
4.0000D-03  9.9387D-10 5.6722D-08 2.1424D-02  9.9387D-10  9.0194D-08  2.3600D-02 
4.0000D-03  1.1940D-09 2.9354D-07 2.1424D-02  1.1940D-09  3.4339D-07  2.3600D-02 
4.0000D-03  1.7173D-09 2.6543D-07 2.1424D-02  1.7173D-09  7.2127D-07  2.3600D-02 
4.0000D-03  1.1052D-08 2.7670D-06 2.1424D-02  1.1052D-08  4.1495D-06  2.3600D-02 
4.5000D-03  3.6327D-10 8.5919D-08 2.1424D-02  3.6327D-10  1.0816D-07  2.3600D-02 
4.5000D-03  9.9387D-10 5.7468D-08 2.1424D-02  9.9387D-10  9.4628D-08  2.3600D-02 
4.5000D-03  1.1940D-09 2.9853D-07 2.1424D-02  1.1940D-09  3.6034D-07  2.3600D-02 
4.5000D-03  1.7173D-09 2.6709D-07 2.1424D-02  1.7173D-09  7.4175D-07  2.3600D-02 
4.5000D-03  1.1052D-08 2.6620D-06 2.1424D-02  1.1052D-08  4.3125D-06  2.3600D-02 
5.0000D-03  3.6327D-10 8.6287D-08 2.1424D-02  3.6327D-10  1.1230D-07  2.3600D-02 
5.0000D-03  9.9387D-10 5.7404D-08 2.1424D-02  9.9387D-10  9.8351D-08  2.3600D-02 
5.0000D-03  1.1940D-09 2.9860D-07 2.1424D-02  1.1940D-09  3.7495D-07  2.3600D-02 
5.0000D-03  1.7173D-09 2.6424D-07 2.1424D-02  1.7173D-09  7.5776D-07  2.3600D-02 
5.0000D-03  1.1052D-08 2.4923D-06 2.1424D-02  1.1052D-08  4.3875D-06  2.3600D-02 
6.0000D-03  3.6327D-10 8.2390D-08 2.1424D-02  3.6327D-10  1.1817D-07  2.3600D-02 
6.0000D-03  9.9387D-10 5.4039D-08 2.1424D-02  9.9387D-10  1.0359D-07  2.3600D-02 
6.0000D-03  1.1940D-09 2.8060D-07 2.1424D-02  1.1940D-09  3.9553D-07  2.3600D-02 
6.0000D-03  1.7173D-09 2.4245D-07 2.1424D-02  1.7173D-09  7.7135D-07  2.3600D-02 
6.0000D-03  1.1052D-08 2.0649D-06 2.1424D-02  1.1052D-08  4.2759D-06  2.3600D-02 
7.0000D-03  3.6327D-10 7.3595D-08 2.1424D-02  3.6327D-10  1.2001D-07  2.3600D-02 
7.0000D-03  9.9387D-10 4.7938D-08 2.1424D-02  9.9387D-10  1.0491D-07  2.3600D-02 
7.0000D-03  1.1940D-09 2.4653D-07 2.1424D-02  1.1940D-09  4.0034D-07  2.3600D-02 
7.0000D-03  1.7173D-09 2.0887D-07 2.1424D-02  1.7173D-09  7.5246D-07  2.3600D-02 
7.0000D-03  1.1052D-08 1.6782D-06 2.1424D-02  1.1052D-08  3.9168D-06  2.3600D-02 
8.0000D-03  3.6327D-10 6.3436D-08 2.1424D-02  3.6327D-10  1.1650D-07  2.3600D-02 
