 Z=0.0001
   Mass      He            C12         016         N14        C13          Ne           Mg          Si         Fe         N14s         C13s         S32         Ca         Rem
 0.75000E+01 0.88949E+00 0.00000E+00 0.00000E+00 0.42445E-03 0.43295E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12844E+01
 0.80000E+01 0.97606E+00 0.00000E+00 0.00000E+00 0.73187E-03 0.68214E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12948E+01
 0.85000E+01 0.97055E+00 0.50893E-04 0.00000E+00 0.17691E-02 0.12262E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13008E+01
 0.90000E+01 0.11081E+01 0.69542E-03 0.00000E+00 0.73226E-02 0.37233E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13273E+01
 0.95000E+01 0.12457E+01 0.13399E-02 0.00000E+00 0.12876E-01 0.62204E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13538E+01
 0.10000E+02 0.13832E+01 0.19845E-02 0.00000E+00 0.18430E-01 0.87175E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13803E+01
 0.10500E+02 0.15208E+01 0.26290E-02 0.00000E+00 0.23983E-01 0.11215E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.14068E+01
  
 
 
 
 
 
 
 
 
